MIASTO KUTNO;;;;;;;;;;;
Zestawienie etatów nauczycieli objętych subwencją oświatową;;;;;;;;;;;
opracowano w MEN na podstawie SIO, stan na 30IX/10X;;;;;;;;;;;
rok szkolny 2021/2022;;;;;;;;;;;
Organ rejestrujący;;;;;;;Liczba nauczycieli;;;;
Woj;Pow;Gmi;Województwo;Powiat;Gmina;Typ gminy;Ogółem;Stażysta;Kontraktowy;Mianowany;Dyplomowany
10;02;01;ŁÓDZKIE;kutnowski;Kutno;M;  365.36;  9.47;  47.69;  98.60;  209.60
;;;RAZEM:;;;;  365.36;  9.47;  47.69;  98.60;  209.60
